"IDENTITY","REGION","DAY","MONTH","YEAR","TRX_TYPE","TRX_COUNT"
17419935,13,1,3,2018,1,101
17419935,13,1,3,2018,2,9
17419935,13,2,3,2018,1,115
17419935,13,2,3,2018,2,7
17419935,13,3,3,2018,1,97
17419935,13,3,3,2018,2,6
17419935,13,4,3,2018,1,57
17419935,13,4,3,2018,2,63
17419935,13,5,3,2018,1,133
17419935,13,5,3,2018,2,5
17419935,13,6,3,2018,1,128
17419935,13,6,3,2018,2,4
17419935,13,7,3,2018,1,82
17419935,13,7,3,2018,2,7
17419935,13,8,3,2018,1,73
17419935,13,8,3,2018,2,9
17419935,13,9,3,2018,1,104
17419935,13,9,3,2018,2,5
17419935,13,10,3,2018,1,85
17419935,13,10,3,2018,2,2
17419935,13,11,3,2018,1,55
17419935,13,11,3,2018,2,5
17419935,13,12,3,2018,1,117
17419935,13,12,3,2018,2,7
17419935,13,13,3,2018,1,98
17419935,13,13,3,2018,2,9
17419935,13,14,3,2018,1,94
17419935,13,14,3,2018,2,8
17419935,13,15,3,2018,1,103
17419935,13,15,3,2018,2,6
17419935,13,16,3,2018,1,105
17419935,13,16,3,2018,2,6
17419935,13,17,3,2018,1,117
17419935,13,17,3,2018,2,2
17419935,13,18,3,2018,1,52
17419935,13,18,3,2018,2,4
17419935,13,19,3,2018,1,143
17419935,13,19,3,2018,2,6
17419935,13,20,3,2018,1,97
17419935,13,20,3,2018,2,11
17419935,13,21,3,2018,1,96
17419935,13,21,3,2018,2,6
17419935,13,22,3,2018,1,98
17419935,13,22,3,2018,2,10
17419935,13,23,3,2018,1,95
17419935,13,23,3,2018,2,7
17419935,13,24,3,2018,1,105
17419935,13,24,3,2018,2,8
17419935,13,25,3,2018,1,49
17419935,13,25,3,2018,2,6
17419935,13,26,3,2018,1,128
17419935,13,26,3,2018,2,7
17419935,13,27,3,2018,1,87
17419935,13,27,3,2018,2,2
17419935,13,28,3,2018,1,96
17419935,13,28,3,2018,2,3
17419935,13,29,3,2018,1,75
17419935,13,29,3,2018,2,4
17419935,13,30,3,2018,1,93
17419935,13,30,3,2018,2,11
17419935,13,31,3,2018,1,100
17419935,13,31,3,2018,2,7
17419935,13,1,4,2018,1,63
17419935,13,1,4,2018,2,6
17419935,13,2,4,2018,1,134
17419935,13,2,4,2018,2,8
17419935,13,3,4,2018,1,92
17419935,13,3,4,2018,2,6
17419935,13,4,4,2018,1,125
17419935,13,4,4,2018,2,13
17419935,13,5,4,2018,1,112
17419935,13,5,4,2018,2,6
17419935,13,6,4,2018,1,110
17419935,13,6,4,2018,2,9
17419935,13,7,4,2018,1,91
17419935,13,7,4,2018,2,3
17419935,13,8,4,2018,1,59
17419935,13,8,4,2018,2,0
17419935,13,9,4,2018,1,101
17419935,13,9,4,2018,2,5
17419935,13,10,4,2018,1,99
17419935,13,10,4,2018,2,5
17419935,13,11,4,2018,1,81
17419935,13,11,4,2018,2,7
17419935,13,12,4,2018,1,77
17419935,13,12,4,2018,2,6
17419935,13,13,4,2018,1,128
17419935,13,13,4,2018,2,10
17419935,13,14,4,2018,1,100
17419935,13,14,4,2018,2,14
17419935,13,15,4,2018,1,51
17419935,13,15,4,2018,2,1
17419935,13,16,4,2018,1,141
17419935,13,16,4,2018,2,1
17419935,13,17,4,2018,1,106
17419935,13,17,4,2018,2,5
17419935,13,18,4,2018,1,80
17419935,13,18,4,2018,2,8
17419935,13,19,4,2018,1,91
17419935,13,19,4,2018,2,7
17419935,13,20,4,2018,1,125
17419935,13,20,4,2018,2,2
17419935,13,21,4,2018,1,99
17419935,13,21,4,2018,2,2
17419935,13,22,4,2018,1,46
17419935,13,22,4,2018,2,1
17419935,13,23,4,2018,1,91
17419935,13,23,4,2018,2,6
17419935,13,24,4,2018,1,125
17419935,13,24,4,2018,2,6
17419935,13,25,4,2018,1,90
17419935,13,25,4,2018,2,2
17419935,13,26,4,2018,1,91
17419935,13,26,4,2018,2,7
17419935,13,27,4,2018,1,129
17419935,13,27,4,2018,2,4
17419935,13,28,4,2018,1,72
17419935,13,28,4,2018,2,4
17419935,13,29,4,2018,1,83
17419935,13,29,4,2018,2,13
17419935,13,30,4,2018,1,104
