"ID","TARGET_1","TARGET_2","TARGET_3","TARGET_4","TARGET_5","TARGET_6"
1,NA,NA,NA,NA,NA,0
2,NA,0,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,0
4,NA,NA,NA,NA,NA,0
5,NA,NA,NA,NA,NA,0
6,NA,NA,NA,NA,0,NA
7,0,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,1
9,0,NA,NA,NA,NA,NA
10,NA,0,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,0
12,NA,NA,0,NA,NA,NA
13,0,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,0
15,NA,NA,NA,NA,0,NA
16,NA,NA,NA,0,NA,NA
17,NA,NA,NA,0,NA,NA
18,NA,NA,NA,0,NA,NA
19,NA,NA,NA,NA,0,NA
20,NA,NA,0,NA,NA,NA
21,NA,NA,NA,0,NA,NA
22,NA,1,NA,NA,NA,NA
23,NA,NA,0,NA,NA,NA
24,NA,NA,0,NA,NA,NA
25,NA,NA,0,NA,NA,NA
26,NA,NA,NA,0,NA,NA
27,0,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,0,NA
29,NA,NA,0,NA,NA,NA
30,0,NA,NA,NA,NA,NA
31,NA,NA,NA,1,NA,NA
32,NA,0,NA,NA,NA,NA
33,0,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,0
35,0,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,0,NA
37,NA,NA,0,NA,NA,NA
38,0,NA,NA,NA,NA,NA
39,NA,NA,0,NA,NA,NA
40,NA,0,NA,NA,NA,NA
41,0,NA,NA,NA,NA,NA
42,NA,0,NA,NA,NA,NA
43,NA,NA,0,NA,NA,NA
44,NA,NA,NA,NA,NA,0
45,NA,NA,NA,0,NA,NA
46,NA,NA,NA,NA,NA,0
47,NA,NA,NA,1,NA,NA
48,0,NA,NA,NA,NA,NA
49,NA,NA,0,NA,NA,NA
50,NA,NA,0,NA,NA,NA
51,NA,NA,NA,NA,NA,0
52,NA,NA,NA,1,NA,NA
53,0,NA,NA,NA,NA,NA
54,0,NA,NA,NA,NA,NA
55,0,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,0
57,NA,NA,NA,0,NA,NA
58,NA,0,NA,NA,NA,NA
59,NA,NA,NA,0,NA,NA
60,NA,NA,NA,NA,NA,0
61,NA,NA,NA,NA,1,NA
62,0,NA,NA,NA,NA,NA
63,0,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,0
65,NA,NA,1,NA,NA,NA
66,NA,NA,NA,NA,0,NA
67,0,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,0
69,NA,NA,NA,NA,0,NA
70,NA,NA,NA,0,NA,NA
71,0,NA,NA,NA,NA,NA
72,NA,NA,0,NA,NA,NA
73,NA,NA,NA,NA,0,NA
74,NA,NA,0,NA,NA,NA
75,NA,0,NA,NA,NA,NA
76,NA,0,NA,NA,NA,NA
77,0,NA,NA,NA,NA,NA
78,NA,NA,0,NA,NA,NA
79,NA,NA,NA,NA,0,NA
80,NA,NA,NA,0,NA,NA
81,0,NA,NA,NA,NA,NA
82,0,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,0,NA
84,NA,NA,NA,NA,NA,0
85,NA,NA,NA,0,NA,NA
86,0,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,0
88,0,NA,NA,NA,NA,NA
89,0,NA,NA,NA,NA,NA
90,NA,NA,0,NA,NA,NA
91,1,NA,NA,NA,NA,NA
92,NA,NA,0,NA,NA,NA
93,NA,1,NA,NA,NA,NA
94,NA,NA,NA,NA,0,NA
95,NA,NA,NA,NA,NA,0
96,NA,NA,NA,0,NA,NA
97,NA,0,NA,NA,NA,NA
98,NA,NA,NA,0,NA,NA
99,NA,NA,0,NA,NA,NA
100,NA,NA,NA,NA,1,NA
101,NA,NA,NA,NA,NA,1
102,NA,NA,NA,1,NA,NA
103,1,NA,NA,NA,NA,NA
104,NA,1,NA,NA,NA,NA
105,NA,NA,0,NA,NA,NA
106,NA,NA,NA,NA,NA,0
107,NA,NA,NA,0,NA,NA
108,NA,NA,NA,NA,NA,0
109,NA,NA,NA,0,NA,NA
110,NA,NA,0,NA,NA,NA
111,0,NA,NA,NA,NA,NA
112,NA,NA,NA,0,NA,NA
113,NA,NA,NA,NA,0,NA
114,NA,NA,0,NA,NA,NA
115,NA,NA,0,NA,NA,NA
116,NA,NA,NA,NA,0,NA
117,NA,NA,0,NA,NA,NA
118,NA,NA,0,NA,NA,NA
119,0,NA,NA,NA,NA,NA
120,NA,NA,NA,0,NA,NA
121,NA,NA,0,NA,NA,NA
122,NA,NA,0,NA,NA,NA
123,0,NA,NA,NA,NA,NA
124,NA,NA,NA,1,NA,NA
125,NA,0,NA,NA,NA,NA
126,NA,NA,NA,1,NA,NA
127,NA,NA,NA,NA,0,NA
128,NA,NA,NA,NA,0,NA
129,NA,NA,NA,NA,NA,0
130,0,NA,NA,NA,NA,NA
131,NA,1,NA,NA,NA,NA
132,NA,NA,NA,NA,0,NA
133,NA,NA,NA,NA,NA,0
134,NA,NA,NA,NA,0,NA
135,0,NA,NA,NA,NA,NA
136,NA,NA,NA,0,NA,NA
137,NA,NA,NA,0,NA,NA
138,0,NA,NA,NA,NA,NA
139,NA,0,NA,NA,NA,NA
140,NA,NA,NA,0,NA,NA
141,NA,NA,NA,0,NA,NA
142,NA,NA,0,NA,NA,NA
143,NA,NA,1,NA,NA,NA
144,NA,NA,NA,NA,NA,0
145,0,NA,NA,NA,NA,NA
146,NA,NA,NA,0,NA,NA
147,NA,NA,1,NA,NA,NA
148,NA,NA,NA,NA,0,NA
149,NA,NA,NA,0,NA,NA
150,NA,0,NA,NA,NA,NA
151,NA,NA,NA,NA,0,NA
152,NA,NA,1,NA,NA,NA
153,NA,NA,NA,NA,NA,0
154,1,NA,NA,NA,NA,NA
155,NA,NA,NA,0,NA,NA
156,NA,NA,NA,0,NA,NA
157,NA,NA,NA,NA,NA,0
158,NA,NA,NA,NA,1,NA
159,NA,NA,NA,NA,0,NA
160,NA,NA,NA,0,NA,NA
161,NA,NA,NA,0,NA,NA
162,0,NA,NA,NA,NA,NA
163,NA,NA,NA,NA,0,NA
164,0,NA,NA,NA,NA,NA
165,NA,NA,NA,NA,NA,0
166,NA,NA,NA,NA,0,NA
167,NA,NA,NA,1,NA,NA
168,0,NA,NA,NA,NA,NA
169,NA,NA,1,NA,NA,NA
170,NA,NA,NA,NA,0,NA
171,NA,NA,NA,1,NA,NA
172,NA,NA,NA,1,NA,NA
173,NA,NA,NA,NA,1,NA
174,1,NA,NA,NA,NA,NA
175,NA,NA,NA,0,NA,NA
176,0,NA,NA,NA,NA,NA
177,NA,NA,NA,NA,0,NA
178,0,NA,NA,NA,NA,NA
179,NA,NA,0,NA,NA,NA
180,NA,NA,NA,NA,NA,0
181,NA,NA,NA,NA,NA,0
182,NA,NA,0,NA,NA,NA
183,NA,NA,NA,0,NA,NA
184,NA,NA,NA,NA,NA,1
185,NA,NA,NA,NA,NA,0
186,0,NA,NA,NA,NA,NA
187,0,NA,NA,NA,NA,NA
188,NA,NA,0,NA,NA,NA
189,0,NA,NA,NA,NA,NA
190,NA,NA,NA,0,NA,NA
191,NA,NA,NA,NA,NA,0
192,NA,NA,NA,NA,0,NA
193,0,NA,NA,NA,NA,NA
194,NA,NA,NA,0,NA,NA
195,NA,NA,NA,NA,0,NA
196,NA,NA,0,NA,NA,NA
197,NA,NA,NA,0,NA,NA
198,NA,NA,0,NA,NA,NA
199,NA,NA,NA,NA,NA,0
200,NA,NA,0,NA,NA,NA
201,0,NA,NA,NA,NA,NA
202,0,NA,NA,NA,NA,NA
203,NA,NA,NA,1,NA,NA
204,NA,NA,NA,NA,NA,0
205,NA,NA,NA,0,NA,NA
206,NA,NA,1,NA,NA,NA
207,NA,NA,0,NA,NA,NA
208,0,NA,NA,NA,NA,NA
209,NA,NA,NA,NA,NA,1
210,NA,NA,NA,NA,0,NA
211,0,NA,NA,NA,NA,NA
212,NA,NA,NA,NA,0,NA
213,NA,NA,NA,NA,0,NA
214,NA,NA,NA,0,NA,NA
215,NA,NA,NA,NA,NA,0
216,NA,NA,NA,NA,1,NA
217,0,NA,NA,NA,NA,NA
218,NA,NA,NA,NA,1,NA
219,NA,NA,NA,NA,NA,0
220,NA,NA,NA,0,NA,NA
221,NA,NA,0,NA,NA,NA
222,0,NA,NA,NA,NA,NA
223,NA,NA,NA,NA,0,NA
224,0,NA,NA,NA,NA,NA
225,NA,NA,NA,0,NA,NA
226,NA,NA,1,NA,NA,NA
227,NA,NA,NA,NA,0,NA
228,1,NA,NA,NA,NA,NA
229,NA,0,NA,NA,NA,NA
230,NA,NA,0,NA,NA,NA
231,NA,NA,NA,NA,NA,0
232,0,NA,NA,NA,NA,NA
233,NA,1,NA,NA,NA,NA
234,NA,NA,NA,NA,NA,0
235,NA,NA,NA,NA,0,NA
236,NA,NA,0,NA,NA,NA
237,NA,NA,NA,0,NA,NA
238,NA,NA,NA,NA,0,NA
239,NA,NA,NA,NA,1,NA
240,NA,NA,NA,NA,0,NA
241,0,NA,NA,NA,NA,NA
242,NA,NA,NA,0,NA,NA
243,NA,0,NA,NA,NA,NA
244,NA,NA,NA,NA,NA,1
245,NA,NA,1,NA,NA,NA
246,0,NA,NA,NA,NA,NA
247,NA,NA,0,NA,NA,NA
248,NA,NA,NA,0,NA,NA
249,NA,NA,NA,0,NA,NA
250,NA,NA,NA,1,NA,NA
251,1,NA,NA,NA,NA,NA
252,1,NA,NA,NA,NA,NA
253,NA,1,NA,NA,NA,NA
254,NA,NA,NA,NA,0,NA
255,NA,NA,0,NA,NA,NA
256,NA,NA,NA,NA,0,NA
257,NA,NA,NA,1,NA,NA
258,0,NA,NA,NA,NA,NA
259,NA,NA,0,NA,NA,NA
260,NA,NA,NA,NA,NA,0
261,NA,NA,NA,NA,1,NA
262,NA,NA,NA,NA,0,NA
263,NA,NA,NA,NA,0,NA
264,0,NA,NA,NA,NA,NA
265,0,NA,NA,NA,NA,NA
266,NA,NA,0,NA,NA,NA
267,NA,NA,NA,NA,NA,0
268,NA,NA,NA,NA,NA,0
269,NA,NA,NA,0,NA,NA
270,NA,NA,NA,NA,0,NA
271,NA,NA,NA,0,NA,NA
272,NA,NA,NA,0,NA,NA
273,NA,0,NA,NA,NA,NA
274,NA,NA,NA,NA,NA,1
